Level,Module,Hangul,Português,English,Difficulty,Type,MF,ExtraPT,ExtraENG,Extra
N1,4,신문,Jornal,"Newspaper, Paper, News",Easy,명사,-,-,-,-
N1,4,씨,"Senhor, Senhora","Sir, Miss, Mr., Ms., Mr, Ms",Easy,의존명사,-,-,-,-
N1,4,아주,"Muito, Bastante","Much, Very, Extremely, Exceedingly",Easy,부사,-,-,-,-
N1,4,아직,"Ainda, Por enquanto","Still, Yet, So far",Easy,부사,-,-,-,-
N1,4,아침,"Café da manhã, Manhã","Breakfast, Morning",Easy,명사,-,-,-,식사
N1,4,어학원 [어하권],"Escola de idiomas, Escola de línguas","Language school, Language institute",Easy,명사,-,-,-,-
N1,4,어휘,Vocabulário,"Vocabulary, Word",Easy,명사,-,-,-,-
N1,4,연습,"Prática, Treino, Exercício","Practice, Exercise, Drill, Train, Rehearse",Easy,명사,-,-,-,-
N1,4,운동,"Atividade física, Exercício","Workout, Exercise, Sport, Athletics, Sports",Easy,명사,-,-,-,-
N1,4,음식,"Comida, Alimento","Food, Dish, Meal",Easy,명사,-,-,-,-
N1,4,의자,Cadeira,"Chair, Stool, Seat",Easy,명사,-,-,-,-
N1,4,이야기,"História, Conto, Conversa, Resenha","Story, Talk, Gossip, Conversation, Chat, Speak, Tale, Fable, Legend",Easy,명사,-,-,-,-
N1,4,잡지 [잡찌],Revista,"Magazine, Journal",Easy,명사,-,-,-,-
N1,4,저녁,Janta,Dinner,Easy,명사,-,-,-,식사
N1,4,전화,"Ligação Telefônica, Chamada, Ligação, Telefone","Phone call, Telephone call, Call, Telephone, Ring, Phone",Easy,명사,-,-,-,-
N1,4,제가,Eu,"I, Me, My, Mine, Myself",Easy,대명사,-,-,-,저 + -가
N1,4,제일,"O mais, A mais, O melhor, A melhor, Primeiro, Primeira, Em primeiro","The most, The first, The best, first, best, most",Easy,부사,-,-,-,-
N1,4,중요하다,Ser importante,"Important, Significant, Crucial",Easy,형용사,-,-,-,-
N1,4,지우개,"Borracha, Apagador","Eraser, Rubber",Easy,명사,-,-,-,-
N1,4,진짜,"Verdadeiramente, Realmente","Really, Truly, Very, Real, Indeed, Actually",Easy,부사,-,-,-,-
N1,4,질문,"Pergunta, Questão","Question, Inquiry, Enquiry, Ask, Query, Ask a question, Interrogation",Easy,명사,-,-,-,-
N1,4,책상 [책쌍],"Escrivaninha, Mesa","Desk, Table, Writing table, Writing desk",Easy,명사,-,-,-,-
N1,4,친절하다,"Ser simpático, Ser gentil, Ser amigável","Kind, Hospitable, Friendly, Nice",Easy,형용사,-,-,-,-
N1,4,칠판,"Lousa, Quadro","Blackboard, Chalkboard, Whiteboard, Board",Easy,명사,-,-,-,-
N1,4,키,"Altura, Estatura","Height, Stature, Size",Easy,명사,-,de pessoas,people,-
N1,4,하지만,"Mas, Porém","But, However, Though",Easy,부사,-,inicio de frase,beginning of sentence,-
N1,4,학원 [하권],"Curso, Cursinho","Academy, Private educational institute, Private institute",Easy,명사,-,-,-,-
